fold,model,MAE,RMSE,R2,train_size,test_size
1,Random Forest — Absolute,306.6997889495972,457.4075191034855,0.5511129637159926,256,154
2,Random Forest — Absolute,332.9399851246001,493.5886755249238,0.51267922731141,410,145
3,Random Forest — Absolute,481.7334122956304,740.4334498547873,0.2504022490773986,555,125
1,XGBoost — Absolute,336.7446812220982,488.40682230295664,0.488207511152405,256,154
2,XGBoost — Absolute,354.3439907731681,512.097949480356,0.47544549193857466,410,145
3,XGBoost — Absolute,496.2187294921875,754.6866286096772,0.22126530368527586,555,125
1,Random Forest — Personalized Target,321.29860339728725,484.23794028757044,0.4969072120424691,256,154
2,Random Forest — Personalized Target,317.4605347747362,495.1703420230929,0.509551060362414,410,145
3,Random Forest — Personalized Target,477.42178381809066,739.6420637228146,0.25200375490607185,555,125
1,XGBoost — Personalized Target,332.53756475138977,498.9191792026222,0.4659390023504201,256,154
2,XGBoost — Personalized Target,343.1993035164373,512.9827933804753,0.4736311911626543,410,145
3,XGBoost — Personalized Target,476.4264797822635,736.5141725040512,0.2583168187419588,555,125
