feature,mean_abs_shap
Calories_rolling_mean_7,351.00000539986166
Calories,102.26612997841237
Calories_rolling_mean_3,61.004626625646715
Calories_lag_2,22.4665183740286
Calories_lag_1,21.716010001903328
LightlyActiveMinutes_lag_1,12.997847272915013
Calories_lag_7,7.574247179264938
SedentaryMinutes,6.6057137317914725
LightlyActiveMinutes_rolling_mean_7,6.530552569975814
SedentaryMinutes_rolling_std_7,5.727206072552024
Calories_lag_3,5.398829036588304
LightlyActiveMinutes_lag_7,5.291471193586003
Calories_rolling_std_7,4.643995941643905
VeryActiveMinutes_rolling_std_7,4.356467600639429
LightlyActiveMinutes_lag_3,4.045015868825475
VeryActiveMinutes,3.8212055294823695
FairlyActiveMinutes_lag_7,3.77147310680746
SedentaryMinutes_rolling_std_3,3.601557998787782
SedentaryMinutes_lag_1,3.526232451801416
VeryActiveMinutes_rolling_std_3,3.361424307361093
VeryActiveMinutes_lag_7,3.3442935920683023
TotalDistance_lag_3,3.0330014655686304
SedentaryMinutes_lag_3,2.9350429944601593
TotalDistance_rolling_std_7,2.924203616952021
LightActiveDistance,2.7498395553418566
VeryActiveMinutes_lag_1,2.662649755346437
LightlyActiveMinutes_lag_2,2.618670812302886
TotalDistance_rolling_std_3,2.584489429660784
VeryActiveMinutes_rolling_mean_7,2.558177701710234
LightlyActiveMinutes_rolling_std_7,2.5358485508064272
LightlyActiveMinutes_rolling_mean_3,2.4870310409768157
SedentaryMinutes_rolling_mean_3,2.4648595048371202
ModeratelyActiveDistance,2.406584714334602
TotalSteps_rolling_std_7,2.3151334668925907
SedentaryMinutes_lag_7,2.281342917441099
FairlyActiveMinutes,2.214698114753077
SedentaryMinutes_rolling_mean_7,2.205777292662392
TotalDistance_lag_7,2.1775152092860726
Calories_rolling_std_3,2.11303762693567
TotalSteps_lag_3,2.108329022645288
SedentaryMinutes_lag_2,2.018251754340107
VeryActiveMinutes_lag_2,2.012114003712279
LightlyActiveMinutes,1.931839426495888
TotalSteps_lag_7,1.923655777648708
TotalDistance_rolling_mean_3,1.8559193860524703
TotalSteps_lag_1,1.855238372033238
FairlyActiveMinutes_lag_3,1.741931844648801
LightlyActiveMinutes_rolling_std_3,1.565756402586433
VeryActiveMinutes_rolling_mean_3,1.5304240217452296
FairlyActiveMinutes_lag_2,1.5094924587089826
TotalSteps_rolling_mean_3,1.461071662445917
VeryActiveDistance,1.4271499293084533
TotalDistance_rolling_mean_7,1.3947811665304604
TotalSteps_rolling_std_3,1.3872471306090417
VeryActiveMinutes_lag_3,1.354574790203208
TotalDistance_lag_1,1.3215486828821896
FairlyActiveMinutes_lag_1,1.199136402294619
TotalSteps_rolling_mean_7,1.1931527650509626
TotalDistance_lag_2,1.182742978998646
TotalSteps_lag_2,1.035064502630074
TrackerDistance,0.8800078065180233
TotalSteps,0.738087571719416
TotalDistance,0.7223210740381644
SedentaryActiveDistance,0.18288924852895036
LoggedActivitiesDistance,0.07178374446800377
