Id,observations,MeanResidual,MedianResidual
6290855005,3,-1073.4467386444337,-556.4737149689772
8792009665,3,-859.6875733632332,-328.813454006397
8583815059,5,-588.2364641621223,-24.888413472369393
6117666160,2,-586.8514885939069,-586.8514885939069
1844505072,5,-467.9219315723161,-355.80462079309564
4020332650,5,-421.6796246603175,-78.37909731009813
1503960366,5,-402.6904214403238,-104.1279361579991
1644430081,4,-389.5999248308683,-67.27129118274138
8053475328,5,-360.20183184041906,-277.50905844239696
4319703577,5,-346.45755228822185,124.59453713184212
7086361926,5,-331.93386643458115,-53.08266610851979
3977333714,4,-310.4473447398483,72.8516803706043
4388161847,5,-284.39190651615615,-196.0924859023753
1927972279,5,-273.1102564581285,-145.68321947577715
1624580081,5,-254.03834775921382,-223.40658299631536
8877689391,5,-246.37885793156573,-469.8404561688326
4702921684,5,-241.5359248728595,120.45733136022272
5577150313,4,-241.35309313009884,-538.2197646514162
5553957443,5,-156.47280056307287,-153.78096054382786
6962181067,5,-140.2593495228998,6.002411525020534
8378563200,5,-125.13034925768761,353.2143063672447
2026352035,5,-96.17657823706413,-41.03569211709396
2873212765,5,-78.08466248472806,-3.643119426541489
4445114986,5,-68.06879221768614,108.78260343833381
2022484408,5,-8.28191342046748,70.59977677060624
2320127002,5,21.45647593704557,146.70093910156993
4558609924,5,33.55388145116099,177.7226117621692
