Model,MAE,RMSE,R2,Evaluation
Global Mean,732.1123603603603,898.7328565068274,-0.1043772529447408,Single train/test split
User Mean,486.79066666666665,753.1805972501377,0.2243702445357214,Single train/test split
Previous Day,542.432,803.8786177029465,0.1164377174065655,Single train/test split
7-Day Mean,479.9668571428573,757.968226031586,0.2144782487923939,Single train/test split
Linear Regression — Base,496.0380794019032,738.5981202261911,0.2541137342869998,Single train/test split
Decision Tree — Base,496.2133975016243,719.3815608998336,0.2924211907747984,Single train/test split
Linear Regression — Lag,503.1245093622542,760.2356814145672,0.2097714561124187,Single train/test split
Decision Tree — Lag,566.1333934988944,784.007619270227,0.1595792220552865,Single train/test split
Linear Regression — Rolling,492.4568996426653,758.820037572888,0.2127117038365232,Single train/test split
Decision Tree — Rolling,517.990044802584,787.8379357833979,0.1513473094990588,Single train/test split
Linear Regression — All Features,485.0493597101472,754.3263048952043,0.2220087370060092,Single train/test split
Decision Tree — All Features,533.4940521368898,789.1612508821314,0.1484939864052046,Single train/test split
Random Forest — All Features,481.7334122956305,740.4334498547873,0.2504022490773984,Single train/test split
Random Forest — All Features,373.7910621232759,563.8098814943988,0.438064813368267,Walk-forward validation
7-Day Mean,366.4455002665644,566.3899122991439,0.4324715565191854,Walk-forward validation
User Mean,367.93592284344,572.8225940867585,0.4198694585944822,Walk-forward validation
Linear Regression — Base,389.71712156006106,576.576570820521,0.4123999073488727,Walk-forward validation
Decision Tree — Base,404.6027102845257,582.5245371353326,0.3992443735245514,Walk-forward validation
