Model,MAE,RMSE,R2
Global Mean,732.1123603603603,898.7328565068274,-0.10437725294474087
User Mean,486.79066666666665,753.1805972501377,0.2243702445357214
Previous Day,542.432,803.8786177029465,0.1164377174065655
7-Day Mean,479.9668571428573,757.968226031586,0.21447824879239397
Linear Regression — Base,496.0380794019032,738.5981202261911,0.2541137342869998
Decision Tree — Base,496.2133975016243,719.3815608998336,0.29242119077479845
Linear Regression — Lag,503.1245093622542,760.2356814145672,0.20977145611241876
Decision Tree — Lag,566.1333934988944,784.007619270227,0.15957922205528652
Linear Regression — Rolling,492.4568996426653,758.820037572888,0.21271170383652327
Decision Tree — Rolling,517.990044802584,787.8379357833979,0.15134730949905884
Linear Regression — All Features,485.0493597101472,754.3263048952043,0.2220087370060092
Decision Tree — All Features,533.4940521368898,789.1612508821314,0.14849398640520461
Random Forest — All Features,481.7334122956305,740.4334498547873,0.2504022490773984
