feature,importance,importance_mean,importance_std,rank_builtin,rank_permutation,group
Calories_rolling_mean_7,0.5111351454119025,0.3072761079795544,0.024708506093509792,1.0,1.0,Rolling
Calories,0.1239694281955582,0.043520619880190334,0.011960590716117974,2.0,2.0,Base
LightlyActiveMinutes_lag_1,0.010269547174290598,0.00729831202349841,0.004260491068280267,7.0,3.0,Lag
Calories_lag_1,0.015216316519477182,0.00687151941766726,0.007063294505262125,5.0,4.0,Lag
Calories_lag_7,0.010318021054981065,0.0037537089154471848,0.003538679145454854,6.0,5.0,Lag
SedentaryMinutes,0.006356100042359018,0.0032594151785054317,0.002799897689734777,12.0,6.0,Base
Calories_rolling_std_3,0.003747963222765886,0.0030317490480989084,0.0016444075571191454,28.0,7.0,Rolling
FairlyActiveMinutes_lag_7,0.0037081930323485425,0.0019466585589909657,0.0012245447399155897,29.0,8.0,Lag
LightActiveDistance,0.0040772370115154406,0.0018845805225567668,0.0018140781749125538,26.0,9.0,Base
ModeratelyActiveDistance,0.00276595404101143,0.0016749779427262302,0.0011130171753182111,46.0,10.0,Base
VeryActiveMinutes_rolling_std_3,0.002914227929754208,0.0012979906622158199,0.0018657847580966053,44.0,11.0,Rolling
LightlyActiveMinutes,0.003601340366790836,0.0012840626311247938,0.0015488082588034345,30.0,12.0,Base
FairlyActiveMinutes_lag_3,0.0032216400653529154,0.0011926912129804346,0.0006469642381384728,38.0,13.0,Lag
TotalDistance_lag_7,0.002803661896280292,0.0010434650912796272,0.0008738126356754835,45.0,14.0,Lag
TotalDistance_rolling_mean_7,0.0026611621478291356,0.0008794981755211317,0.00044134009432333015,48.0,15.0,Rolling
TotalDistance_lag_3,0.00340476665587887,0.0008735404212587671,0.0009988914910918861,35.0,16.0,Lag
TotalDistance_rolling_std_7,0.004954636221391487,0.0007535088815454838,0.0011938011889042117,21.0,17.0,Rolling
TotalSteps_lag_3,0.002924650333035404,0.0006105786702484739,0.000721508082567938,42.0,18.0,Lag
VeryActiveMinutes_lag_3,0.002274181955744546,0.00032779864976161254,0.0007190737422561793,53.0,19.0,Lag
LightlyActiveMinutes_rolling_std_7,0.007041040923533166,0.0003225517410725187,0.0009651753671081648,10.0,20.0,Rolling
VeryActiveMinutes_lag_1,0.002988624078855975,0.000285610716129403,0.0013968895954992548,40.0,21.0,Lag
