feature,importance_mean,importance_std
Calories_rolling_mean_7,0.3072761079795544,0.024708506093509792
Calories,0.043520619880190334,0.011960590716117974
LightlyActiveMinutes_lag_1,0.00729831202349841,0.004260491068280267
Calories_lag_1,0.00687151941766726,0.007063294505262125
Calories_lag_7,0.0037537089154471848,0.003538679145454854
SedentaryMinutes,0.0032594151785054317,0.002799897689734777
Calories_rolling_std_3,0.0030317490480989084,0.0016444075571191454
FairlyActiveMinutes_lag_7,0.0019466585589909657,0.0012245447399155897
LightActiveDistance,0.0018845805225567668,0.0018140781749125538
ModeratelyActiveDistance,0.0016749779427262302,0.0011130171753182111
VeryActiveMinutes_rolling_std_3,0.0012979906622158199,0.0018657847580966053
LightlyActiveMinutes,0.0012840626311247938,0.0015488082588034345
FairlyActiveMinutes_lag_3,0.0011926912129804346,0.0006469642381384728
TotalDistance_lag_7,0.0010434650912796272,0.0008738126356754835
TotalDistance_rolling_mean_7,0.0008794981755211317,0.00044134009432333015
TotalDistance_lag_3,0.0008735404212587671,0.0009988914910918861
TotalDistance_rolling_std_7,0.0007535088815454838,0.0011938011889042117
TotalSteps_lag_3,0.0006105786702484739,0.000721508082567938
VeryActiveMinutes_lag_3,0.00032779864976161254,0.0007190737422561793
LightlyActiveMinutes_rolling_std_7,0.0003225517410725187,0.0009651753671081648
VeryActiveMinutes_lag_1,0.000285610716129403,0.0013968895954992548
TotalSteps_rolling_std_3,0.00024468762567620984,0.0007780261498034029
LightlyActiveMinutes_rolling_mean_3,0.00023042063944036517,0.0010122471370414016
SedentaryActiveDistance,0.0002276959078942098,9.077943686395082e-05
TotalDistance,0.00012144685852534254,0.0007438669732992668
TrackerDistance,2.4277135837091902e-05,0.0003494911587221747
LoggedActivitiesDistance,-1.1461272866120088e-05,1.1076069700971325e-05
VeryActiveMinutes_rolling_mean_3,-4.712684033884029e-05,0.000578064822323716
SedentaryMinutes_rolling_mean_3,-7.800319908098929e-05,0.0012076440406593488
TotalSteps,-0.0001261795387947906,0.0005356971822667717
FairlyActiveMinutes,-0.000127809283662339,0.0006376623336684358
LightlyActiveMinutes_rolling_std_3,-0.0001486097819006882,0.0005967898808745875
TotalSteps_rolling_std_7,-0.00016229226564929978,0.0004428731647257765
SedentaryMinutes_lag_3,-0.00024917748738092496,0.0014512410589406378
VeryActiveMinutes_rolling_std_7,-0.0002743219538863362,0.002697105125857098
TotalSteps_rolling_mean_3,-0.0002941387991651112,0.0005236550560400274
LightlyActiveMinutes_lag_3,-0.00038990329826195104,0.002314833102454191
TotalDistance_rolling_mean_3,-0.0004268938799260713,0.00045208561994415696
TotalDistance_lag_1,-0.000460578596635175,0.0005478835241090754
FairlyActiveMinutes_lag_2,-0.0005628215786435353,0.0010248253441614962
TotalDistance_lag_2,-0.0006373549074039419,0.000524936528198488
TotalDistance_rolling_std_3,-0.0006539835376891734,0.0012978982009270311
SedentaryMinutes_rolling_std_3,-0.0008407562612511632,0.0017937499917853145
Calories_lag_3,-0.0008508338904617885,0.002177226783869789
VeryActiveMinutes_lag_7,-0.0008899160075609869,0.0020244738801804317
VeryActiveMinutes_lag_2,-0.0009302634219051309,0.0009281124647476013
TotalSteps_lag_2,-0.0009572691775510345,0.0004151004945980168
LightlyActiveMinutes_lag_2,-0.0010183410145611193,0.001356291770250744
TotalSteps_rolling_mean_7,-0.0011234015505813045,0.0004490732266328101
FairlyActiveMinutes_lag_1,-0.0011273663277287737,0.0007104890457160119
VeryActiveDistance,-0.0011815003975642947,0.0010606387605455213
SedentaryMinutes_lag_2,-0.0012265478206130776,0.0010550427503028437
SedentaryMinutes_lag_1,-0.0012851681350766531,0.0012211918242015628
TotalSteps_lag_1,-0.0014642975342459064,0.0009990526093461578
LightlyActiveMinutes_rolling_mean_7,-0.00154823674890866,0.0017398110586932657
VeryActiveMinutes_rolling_mean_7,-0.0015581256765208828,0.0015046202765864678
Calories_rolling_std_7,-0.0016225496580997035,0.0013428367701269796
LightlyActiveMinutes_lag_7,-0.002013144223432073,0.0019922591110982
SedentaryMinutes_rolling_mean_7,-0.0022221362188008407,0.0010566976029722818
SedentaryMinutes_lag_7,-0.002293647393484566,0.001127132852653275
TotalSteps_lag_7,-0.002394269476117994,0.000993679098859708
Calories_rolling_mean_3,-0.0029041360077503796,0.0029183464715152128
VeryActiveMinutes,-0.004771248100064085,0.0019176732237701478
SedentaryMinutes_rolling_std_7,-0.0052653541953877284,0.001738004782332391
Calories_lag_2,-0.02243006686064498,0.006760380757337038
