feature,importance
Calories_rolling_mean_7,0.5111351454119025
Calories,0.1239694281955582
Calories_rolling_mean_3,0.09207526991203094
Calories_lag_2,0.025871341039932386
Calories_lag_1,0.015216316519477182
Calories_lag_7,0.010318021054981065
LightlyActiveMinutes_lag_1,0.010269547174290598
SedentaryMinutes_rolling_std_7,0.009367054061541112
Calories_lag_3,0.008856836573372209
LightlyActiveMinutes_rolling_std_7,0.007041040923533166
Calories_rolling_std_7,0.006858667731149253
SedentaryMinutes,0.006356100042359018
LightlyActiveMinutes_lag_7,0.0062078873185966825
LightlyActiveMinutes_rolling_mean_7,0.006029727626241743
SedentaryMinutes_rolling_std_3,0.005871843434006225
VeryActiveMinutes_rolling_std_7,0.0058364173946053215
SedentaryMinutes_lag_1,0.0058158888867675534
TotalDistance_rolling_std_3,0.005434328481883075
LightlyActiveMinutes_lag_3,0.005205953559635552
TotalSteps_rolling_std_7,0.0049902516143420835
TotalDistance_rolling_std_7,0.004954636221391487
SedentaryMinutes_rolling_mean_7,0.004592117043457225
SedentaryMinutes_lag_3,0.0043307425950033385
VeryActiveMinutes,0.00422863093664787
SedentaryMinutes_lag_7,0.004080869501976937
LightActiveDistance,0.0040772370115154406
LightlyActiveMinutes_lag_2,0.003898010100205228
Calories_rolling_std_3,0.003747963222765886
FairlyActiveMinutes_lag_7,0.0037081930323485425
LightlyActiveMinutes,0.003601340366790836
VeryActiveMinutes_rolling_mean_3,0.003560144951891635
SedentaryMinutes_lag_2,0.003503752110700411
LightlyActiveMinutes_rolling_mean_3,0.0034576929948038214
SedentaryMinutes_rolling_mean_3,0.003420867237587151
TotalDistance_lag_3,0.00340476665587887
VeryActiveMinutes_lag_7,0.003286920750999665
VeryActiveMinutes_lag_2,0.003252560849172558
FairlyActiveMinutes_lag_3,0.0032216400653529154
FairlyActiveMinutes,0.0030083583392065787
VeryActiveMinutes_lag_1,0.002988624078855975
TotalSteps_lag_7,0.002936393908736502
TotalSteps_lag_3,0.002924650333035404
LightlyActiveMinutes_rolling_std_3,0.002914826952224629
VeryActiveMinutes_rolling_std_3,0.002914227929754208
TotalDistance_lag_7,0.002803661896280292
ModeratelyActiveDistance,0.00276595404101143
FairlyActiveMinutes_lag_2,0.0026936060984208243
TotalDistance_rolling_mean_7,0.0026611621478291356
TotalDistance_rolling_mean_3,0.0024372964111527766
TotalSteps_rolling_std_3,0.0024227951738522934
VeryActiveMinutes_rolling_mean_7,0.0023997587731841717
FairlyActiveMinutes_lag_1,0.0023019234164020665
VeryActiveMinutes_lag_3,0.002274181955744546
TotalDistance_lag_1,0.0022516210841033845
TotalDistance_lag_2,0.0021902688779485103
TotalSteps_lag_2,0.0020557354538988113
TotalSteps_rolling_mean_3,0.002032653463828446
TotalSteps_lag_1,0.00201816197328748
VeryActiveDistance,0.0017471041448109145
TotalSteps_rolling_mean_7,0.001649177739413487
TotalDistance,0.0015700725216339694
TotalSteps,0.0013463945571242197
TrackerDistance,0.0011204977316120561
LoggedActivitiesDistance,0.00027075351521600293
SedentaryActiveDistance,0.00024498487673602727
