,count,mean,std,min,25%,50%,75%,max
user_id,365000.0,499.5,288.6753857032142,0.0,249.75,499.5,749.25,999.0
age,365000.0,48.772,17.792832359015115,18.0,33.0,49.0,64.0,79.0
steps,365000.0,8499.532057534247,1446.8266357755508,5723.0,7248.0,8497.0,9750.0,11330.0
heart_rate_avg,365000.0,64.97941436733635,11.24665949089931,13.80160745362489,57.39084349478848,64.99751873134102,72.55062331216759,113.3256187704862
sleep_hours,365000.0,7.003109087035239,1.4958268383456998,3.0,5.990209224527666,7.000848748747144,8.015041126740485,12.0
calories_burned,365000.0,1999.942721722111,300.05845014757057,505.9562206566532,1797.603286667672,1999.980702162985,2201.965489458844,3408.341803079155
exercise_minutes,365000.0,30.054552740620096,30.145841474207327,2.484451904111792e-05,8.600784690076427,20.784057328854352,41.664980363042616,487.1051472176179
stress_level,365000.0,5.501969863013699,2.8726460694731046,1.0,3.0,6.0,8.0,10.0
weight_kg,365000.0,70.01118762344386,15.005358082853608,4.327270226456662,59.90026985444785,69.9955785419169,80.1389852370378,138.76527786925203
bmi,365000.0,21.99862950172616,4.007091404410445,4.354979042178314,19.295143324179342,21.99742959627178,24.692962543277552,40.445028609056926
